Timeseries,"Wind Speed at 76.8 m
(m/sec)"
01-01-2007 00:00,4.08
01-01-2007 01:00,4.74
01-01-2007 02:00,5.55
01-03-2007 03:00,3.43
01-03-2007 04:00,3.27
01-03-2007 05:00,3.43
01-03-2007 06:00,3.76
01-03-2007 07:00,4.25
01-03-2007 08:00,4.57
01-03-2007 09:00,4.74
01-03-2007 10:00,5.39
01-03-2007 11:00,5.72
01-03-2007 12:00,5.72
01-03-2007 13:00,5.72
01-03-2007 14:00,5.55
01-03-2007 15:00,4.9
01-03-2007 16:00,4.41
01-03-2007 17:00,4.25
01-03-2007 18:00,4.25
01-03-2007 19:00,4.25
01-03-2007 20:00,4.25
01-03-2007 21:00,4.08
01-03-2007 22:00,4.08
01-03-2007 23:00,4.08
01-04-2007 00:00,3.92
01-04-2007 01:00,3.92
01-04-2007 02:00,4.08
01-04-2007 03:00,4.08
01-04-2007 04:00,4.08
01-04-2007 05:00,4.08
01-04-2007 06:00,4.08
01-04-2007 07:00,4.08
01-04-2007 08:00,3.92
01-04-2007 09:00,4.08
01-04-2007 10:00,4.57
01-04-2007 11:00,4.74
01-04-2007 12:00,4.57
01-04-2007 13:00,4.41
01-04-2007 14:00,4.25
01-04-2007 15:00,4.08
01-04-2007 16:00,3.92
01-04-2007 17:00,3.92
01-04-2007 18:00,4.25
01-04-2007 19:00,4.41
01-04-2007 20:00,4.41
01-04-2007 21:00,4.41
01-04-2007 22:00,4.57
01-04-2007 23:00,4.41
01-05-2007 00:00,4.25
01-05-2007 01:00,4.25
01-05-2007 02:00,4.08
01-05-2007 03:00,3.76
01-05-2007 04:00,3.59
01-05-2007 05:00,3.76
01-05-2007 06:00,4.08
01-05-2007 07:00,4.57
01-05-2007 08:00,4.57
01-05-2007 09:00,4.25
01-05-2007 10:00,4.25
01-05-2007 11:00,4.41
01-05-2007 12:00,4.41
01-05-2007 13:00,4.41
01-05-2007 14:00,4.41
01-05-2007 15:00,4.25
01-05-2007 16:00,4.25
01-05-2007 17:00,4.25
01-05-2007 18:00,4.57
01-05-2007 19:00,4.9
01-05-2007 20:00,5.06
01-05-2007 21:00,5.06
01-05-2007 22:00,5.23
01-05-2007 23:00,5.39
01-06-2007 00:00,5.55
01-06-2007 01:00,5.88
01-06-2007 02:00,5.88
01-06-2007 03:00,5.72
01-06-2007 04:00,5.55
01-06-2007 05:00,5.72
01-06-2007 06:00,6.37
01-06-2007 07:00,7.02
01-06-2007 08:00,7.19
01-06-2007 09:00,6.86
01-06-2007 10:00,6.7
01-06-2007 11:00,6.37
01-06-2007 12:00,6.04
01-06-2007 13:00,5.72
01-06-2007 14:00,5.55
01-06-2007 15:00,5.55
01-06-2007 16:00,5.55
01-06-2007 17:00,5.72
01-06-2007 18:00,5.88
01-06-2007 19:00,6.21
01-06-2007 20:00,6.53
01-06-2007 21:00,6.86
01-06-2007 22:00,7.19
01-06-2007 23:00,7.35
01-07-2007 00:00,7.19
01-07-2007 01:00,7.02
01-07-2007 02:00,6.7
01-07-2007 03:00,6.21
01-07-2007 04:00,5.72
01-07-2007 05:00,5.72
01-07-2007 06:00,6.37
01-07-2007 07:00,7.02
01-07-2007 08:00,7.19
01-07-2007 09:00,7.35
01-07-2007 10:00,7.35
01-07-2007 11:00,7.51
01-07-2007 12:00,7.51
01-07-2007 13:00,7.51
01-07-2007 14:00,7.35
01-07-2007 15:00,7.02
01-07-2007 16:00,6.86
01-07-2007 17:00,6.53
01-07-2007 18:00,6.37
01-07-2007 19:00,6.04
01-07-2007 20:00,6.04
01-07-2007 21:00,6.37
01-07-2007 22:00,6.7
01-07-2007 23:00,6.7
01-08-2007 00:00,6.37
01-08-2007 01:00,6.21
01-08-2007 02:00,6.04
01-08-2007 03:00,5.88
01-08-2007 04:00,5.88
01-08-2007 05:00,6.21
01-08-2007 06:00,6.7
01-08-2007 07:00,7.19
01-08-2007 08:00,7.35
01-08-2007 09:00,7.51
01-08-2007 10:00,7.68
01-08-2007 11:00,7.68
01-08-2007 12:00,7.68
01-08-2007 13:00,7.51
01-08-2007 14:00,7.68
01-08-2007 15:00,8
01-08-2007 16:00,8.33
01-08-2007 17:00,8.33
01-08-2007 18:00,8
